name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Đền Đậu An,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6193,http://ditich.vn\upload\images\ditich\De-D0129.jpg,"Hưng Yên, Tiên Lữ, An Viên",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đền chính,Đền chính,"20°40'47.7""N 106°06'22.9""E","Ngọc Hoàng, Tiên Thiên, Địa Thiên",+01 Tháp đất nung,năm 1989,,
Chùa Hoàng Hà (Kim Sơn tự),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6192,http://ditich.vn\upload\images\ditich\Ch-H0162.jpg,"Hưng Yên, Tiên Lữ, Trung Dũng",Chùa,Di tích kiến trúc nghệ thuật,,Thượng điện,Tam bảo,"20°40'54.7""N 106°09'35.7""E",Phật,Dấu vết trên di vật,,,
Chùa Phú Hoà,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6191,http://ditich.vn\upload\images\ditich\Ch-P0158.jpg,"Hưng Yên, Khoái Châu, Bình Kiều",Chùa,Di tích kiến trúc nghệ thuật,,,Nhà mẫu,"20°49'14.0""N 105°58'12.9""E",,Dấu vết trên di vật,,,
Miếu Sơn Thần,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5733,http://ditich.vn\upload\images\ditich\Mi-S0004.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Miếu,,,,,"21°27'44.2""N 105°35'04.7""E",thần,,,,
Đền Hạ Tụ Nghĩa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5732,http://ditich.vn\upload\images\ditich\De-H0058.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,,,,,21°28’53’’B; 105°36’47’’Đ,thần,,,,
Đền Tam Tòa Thánh Mẫu (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5731,http://ditich.vn\upload\images\ditich\De-T0197.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°28’53’’B; 105°36’47’’Đ,Tam Tòa Thánh Mẫu,,,,
Đền Địa Mẫu (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5729,http://ditich.vn\upload\images\ditich\De-D0128.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°28’44’’B; 105°36’32’’Đ,Địa Mẫu,,,,
Đền thờ Quốc Mẫu Tây Thiên (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5728,http://ditich.vn\upload\images\ditich\De-Q0015.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°28’52’’B; 105°36’47’’Đ,Quốc Mẫu Tây Thiên,,,,
Đền Cô Bé (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5727,http://ditich.vn\upload\images\ditich\De-C0063.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,21°28’33’’B; 105°36’26’’Đ,Cô,Dấu vết sớm nhất trên kiến trúc,,,
Đền Cậu (nằm trong cụm Tây Thiên),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5726,http://ditich.vn\upload\images\ditich\De-C0062.jpg,"Vĩnh Phúc, Tam Đảo, Đại Đình",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,,21°28’15’’B; 105°35’33’’Đ,Cậu,,,,
