,page,cat,infoboxes
0,Tháp Chăm,Thể loại:Tháp Chăm,
1,Tháp Bánh Ít,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
2,Tháp Bằng An,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
3,Tháp Bình Lâm,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
4,Tháp Cánh Tiên,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
5,Tháp Chánh Lộ,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
6,Tháp Chiên Đàn,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
7,Danh sách đền tháp Chăm Pa,Thể loại:Tháp Chăm,
8,Tháp Dương Long,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
9,Tháp Đôi,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
10,Phật viện Đồng Dương,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
11,Tháp Hòa Lai,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
12,Tháp Khương Mỹ,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
13,Tháp Liễu Cốc,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
14,Tháp Mắm,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
15,Thánh địa Mỹ Sơn,Thể loại:Tháp Chăm,"Infobox Mandir
Infobox UNESCO World Heritage Site
"
16,Tháp Nhạn,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
17,Phong cách nghệ thuật các tháp Chăm,Thể loại:Tháp Chăm,
18,Tháp Phú Lốc,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
19,Tháp Po Dam,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
20,Tháp Po Klong Garai,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
21,Tháp Po Nagar,Thể loại:Tháp Chăm,"Infobox Mandir
"
22,Tháp Po Rome,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
23,Tháp Po Sah Inư,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
24,Tháp Phú Diên,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
25,Tháp Thủ Thiện,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
26,Tháp Yang Prong,Thể loại:Tháp Chăm,"Thông tin tháp Chăm
"
42,Chùa Việt Nam,Thể loại:Chùa Việt Nam,
43,Chùa Am,Thể loại:Chùa Việt Nam,
44,Chùa Chân Tiên (định hướng),Thể loại:Chùa Việt Nam,
45,Chùa Bạch Hào,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
46,Chùa Báo Thiên,Thể loại:Chùa Việt Nam,
47,Chùa Bửu Phong,Thể loại:Chùa Việt Nam,
48,Chùa Cao Dân,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
49,Chùa Dâu,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
50,Chùa Giám,Thể loại:Chùa Việt Nam,
51,Chùa Hội Phước,Thể loại:Chùa Việt Nam,"Thông tin công trình xây dựng
"
52,Chùa Lá Vằng,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
53,Chùa Quán Sứ,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
54,Chùa sắc tứ (định hướng),Thể loại:Chùa Việt Nam,
55,Chùa Tam Bảo (định hướng),Thể loại:Chùa Việt Nam,
56,Chùa Tập Phước,Thể loại:Chùa Việt Nam,"Thông tin chùa
"
57,Chùa Thầy,Thể loại:Chùa Việt Nam,
58,Chùa Viên Minh,Thể loại:Chùa Việt Nam,
59,Chùa Dâu (định hướng),Thể loại:Chùa Việt Nam,
60,Đại Bảo Tháp Tây Thiên,Thể loại:Chùa Việt Nam,
61,Chùa Đại Bi (định hướng),Thể loại:Chùa Việt Nam,
62,Hoa Lư,Thể loại:Chùa Việt Nam,
63,Khu du lịch Núi Bà Đen,Thể loại:Chùa Việt Nam,"Infobox
"
64,Chùa Kim Sơn (định hướng),Thể loại:Chùa Việt Nam,
65,Chùa Linh Sơn (định hướng),Thể loại:Chùa Việt Nam,
66,Chùa Phúc Lâm (định hướng),Thể loại:Chùa Việt Nam,
67,Viên Dương Quán,Thể loại:Chùa Việt Nam,
68,Bồ Đề Đạo Tràng (Châu Đốc),Thể loại:Chùa tại An Giang,
69,Chùa Huỳnh Đạo,Thể loại:Chùa tại An Giang,
70,Chùa Linh Sơn (Ba Thê),Thể loại:Chùa tại An Giang,
71,Chùa Ông Bắc,Thể loại:Chùa tại An Giang,
72,Chùa Phật Lớn (An Giang),Thể loại:Chùa tại An Giang,
73,Chùa Phi Lai,Thể loại:Chùa tại An Giang,"Thông tin chùa
"
74,Chùa Phước Điền,Thể loại:Chùa tại An Giang,"Infobox Mandir
"
75,Chùa Tam Bửu,Thể loại:Chùa tại An Giang,"Thông tin chùa
"
76,Chùa Tây An,Thể loại:Chùa tại An Giang,
77,Chùa Thới Sơn,Thể loại:Chùa tại An Giang,
78,Chùa Vạn Linh,Thể loại:Chùa tại An Giang,"Thông tin chùa
"
79,Chùa Xà Tón,Thể loại:Chùa tại An Giang,
80,Chùa Giồng Thành,Thể loại:Chùa tại An Giang,"Thông tin chùa
"
81,Chùa Xiêm Cán,Thể loại:Chùa tại Bạc Liêu,"Thông tin chùa
"
82,Quan Âm Phật Đài (Bạc Liêu),Thể loại:Chùa tại Bạc Liêu,"Thông tin chùa
"
83,Chùa Đại Tòng Lâm,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,"Thông tin chùa
"
84,Chùa Hộ Pháp (Thích Ca Phật Đài),Thể loại:Chùa tại Bà Rịa – Vũng Tàu,
85,Chùa Khỉ,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,"Thông tin chùa
"
86,Linh Sơn Cổ Tự,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,
87,Niết Bàn Tịnh Xá,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,
88,Thích Ca Phật Đài,Thể loại:Chùa tại Bà Rịa – Vũng Tàu,
89,Chùa Bổ Đà,Thể loại:Chùa tại Bắc Giang,"Thông tin chùa
"
90,Chùa Trẻ,Thể loại:Chùa tại Bắc Giang,
91,Chùa Vĩnh Nghiêm (Bắc Giang),Thể loại:Chùa tại Bắc Giang,"Thông tin chùa
"
92,Hoa Khê Tự,Thể loại:Chùa tại Bắc Giang,
93,Khu di tích và danh thắng Tây Yên Tử,Thể loại:Chùa tại Bắc Giang,
94,Chùa Thổ Hà,Thể loại:Chùa tại Bắc Giang,
95,Chùa Bút Tháp,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
96,Chùa Cảm Ứng,Thể loại:Chùa tại Bắc Ninh,
97,Chùa Cổ Pháp,Thể loại:Chùa tại Bắc Ninh,
98,Chùa Dàn,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
99,Chùa Đậu (Bắc Ninh),Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
100,Chùa Hàm Long,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
101,Chùa Phả Lại,Thể loại:Chùa tại Bắc Ninh,
102,Chùa Phi Tướng,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
103,Chùa Tổ,Thể loại:Chùa tại Bắc Ninh,
104,Chùa Xuân Quan,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
105,Chùa Dạm,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
106,Chùa Dận,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
108,Chùa Kim Đài,Thể loại:Chùa tại Bắc Ninh,
109,Chùa Phật Tích,Thể loại:Chùa tại Bắc Ninh,"Thông tin chùa
"
110,Chùa Phúc Lâm (Bắc Ninh),Thể loại:Chùa tại Bắc Ninh,
111,Chùa Viên Minh (Bến Tre),Thể loại:Chùa tại Bến Tre,"Thông tin chùa
"
112,Chùa Bồ Đề (Bình Định),Thể loại:Chùa tại Bình Định,
113,Chùa Hang (Bình Định),Thể loại:Chùa tại Bình Định,
114,Chùa Linh Phong (Bình Định),Thể loại:Chùa tại Bình Định,
115,Chùa Hội Khánh,Thể loại:Chùa tại Bình Dương,
116,Chùa Tây Tạng,Thể loại:Chùa tại Bình Dương,
117,Chùa Sóc Lớn,Thể loại:Chùa tại Bình Phước,"Thông tin chùa
"
118,Chùa Linh Quang (Bình Thuận),Thể loại:Chùa tại Bình Thuận,
119,Chùa Phật Quang (Bình Thuận),Thể loại:Chùa tại Bình Thuận,
120,Chùa Cổ Thạch,Thể loại:Chùa tại Bình Thuận,"Thông tin chùa
"
121,Chùa núi Tà Cú,Thể loại:Chùa tại Bình Thuận,
122,Chùa Hội Linh (Cần Thơ),Thể loại:Chùa tại Cần Thơ,"Thông tin chùa
"
123,Chùa Long Quang (Cần Thơ),Thể loại:Chùa tại Cần Thơ,"Thông tin chùa
"
124,Chùa Nam Nhã,Thể loại:Chùa tại Cần Thơ,
125,Hội quán Quảng Triệu (Cần Thơ),Thể loại:Chùa tại Cần Thơ,
126,Thiền viện Trúc Lâm Phương Nam,Thể loại:Chùa tại Cần Thơ,
128,Chùa Quán Thế Âm,Thể loại:Chùa tại Đà Nẵng,
129,Chùa Pháp Lâm,Thể loại:Chùa tại Đà Nẵng,
130,Chùa Liên Trì (Đắk Lắk),Thể loại:Chùa tại Đắk Lắk,
