,page,cat,infoboxes
0,Nhà Đinh,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
Chú thích web"
1,Nhà Hậu Trần,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
2,Nhà Lê sơ,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
3,Nhà Lê trung hưng,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
4,Nhà Ngô,Thể_loại:Triều đại Việt Nam,"Infobox former country
"
5,Nhà Hậu Lê,Thể_loại:Triều đại Việt Nam,
6,Nhà Hồ,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
7,Nhà Lý,Thể_loại:Triều đại Việt Nam,
8,Nhà Mạc,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
9,Nhà Nguyễn,Thể_loại:Triều đại Việt Nam,"Infobox former country
 Chú thích
 "
10,Nhà Tiền Lý,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
11,Nhà Tây Sơn,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
12,Thời kỳ Bắc thuộc lần thứ ba,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
13,Thời kỳ Bắc thuộc lần thứ hai,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
14,Thời kỳ Bắc thuộc lần thứ nhất,Thể_loại:Triều đại Việt Nam,"Infobox former country
"
15,Thời kỳ Bắc thuộc lần thứ tư,Thể_loại:Triều đại Việt Nam,"Infobox Former Subdivision
"
16,Nhà Tiền Lê,Thể_loại:Triều đại Việt Nam,"Infobox Former Country
"
17,Kênh Nhà Lê,Thể loại:Nhà Tiền Lê,
18,Nhà Triệu,Thể loại:Nhà Triệu,"Infobox Former Country
"
19,Nhà Trần,Thể loại:Nhà Trần,"stack
Infobox Former Country
Thanh cổng thông tin  "
